590-99-8640|Jakobe|Reinger|M|6417 Fritsch Divide Suite 148|Liebenthal|KS|67553|38.6557|-99.3203|114|Restaurant manager|1986-12-16|66336340|young_adults.json|706|2015-05-02|pharmacy|16.51
713-51-0013|Maximiliano|O'Connell|M|47705 Laquita Course Suite 327|Melrose|OH|45861|41.0812|-84.4287|296|Stage manager|1986-02-22|4051|leftovers.json|728|2015-05-01|kids_pets|122.14
079-22-2248|Darrick|Ernser|M|002 Tia Stravenue Suite 313|Eagleville|CA|96110|41.5905|-120.7277|166|Nature conservation officer|1993-06-25|1|millenials.json|413|2015-05-01|shopping_pos|244.03
316-85-2789|Margarite|Sporer|F|677 Jase Harbor|Veteran|WY|82243|41.9821|-104.3709|187|Ship broker|1991-02-11|433088|young_adults.json|1801|2015-05-02|gas_transport|85.13
764-93-7361|Marylee|Christiansen|F|0993 Ali Harbor Suite 818|Turner|MT|59542|48.8328|-108.3961|192|Engineer, building services|2000-01-01|369618071|millenials.json|837|2015-05-03|shopping_pos|348.84
781-27-1815|Hortensia|Kovacek|F|108 Raynor Springs|Ashton|SD|57424|45.0465|-98.3973|291|Clothing/textile technologist|1992-12-27|4|millenials.json|2485|2015-05-03|grocery_net|43.27
886-11-4165|Osie|Lesch|M|607 Weissnat Inlet Apt. 807|Alden|KS|67512|38.2343|-98.3112|234|Diagnostic radiographer|1994-12-16|98440235|millenials.json|1412|2015-05-02|personal_care|0.3
655-44-1653|Ireland|Leannon|F|56242 Dicki Cove Apt. 369|Sawyerville|IL|62085|39.0828|-89.8043|209|Solicitor|1994-03-09|2|millenials.json|2071|2015-05-03|misc_pos|665.16
655-44-1653|Ireland|Leannon|F|56242 Dicki Cove Apt. 369|Sawyerville|IL|62085|39.0828|-89.8043|209|Solicitor|1994-03-09|2|millenials.json|2103|2015-05-03|health_fitness|4.69
096-56-9436|Deonte|Reinger|M|718 Abagail Ridge Apt. 544|Nursery|TX|77976|28.9543|-97.0906|126|Engineer, control and instrumentation|1992-03-28|68146414|millenials.json|1293|2015-05-01|entertainment|123.7
096-56-9436|Deonte|Reinger|M|718 Abagail Ridge Apt. 544|Nursery|TX|77976|28.9543|-97.0906|126|Engineer, control and instrumentation|1992-03-28|68146414|millenials.json|1341|2015-05-01|shopping_net|0.76
593-93-8112|Anais|Lebsack|F|847 Elenora Tunnel Suite 561|Williamson|PA|17270|39.854|-77.7997|115|Education officer, museum|1998-01-23|16994455|millenials.json|494|2015-05-03|home|10.42
590-99-8640|Jakobe|Reinger|M|6417 Fritsch Divide Suite 148|Liebenthal|KS|67553|38.6557|-99.3203|114|Restaurant manager|1986-12-16|66336340|young_adults.json|2252|2015-05-02|shopping_pos|0.29
399-78-7276|Jasiah|Koelpin|M|1800 Nichol Track|Hyder|AK|99923|55.5179|-132.0032|87|Surveyor, rural practice|1988-09-05|3715|young_adults.json|769|2015-05-01|misc_net|0.22
261-68-6762|Dolph|Gulgowski|M|84759 Gulgowski Ports|Hustler|WI|54637|43.8801|-90.2729|187|Police officer|1983-08-26|287044090|male_30_40_smaller_cities.json|149|2015-05-01|shopping_pos|117.21
261-68-6762|Dolph|Gulgowski|M|84759 Gulgowski Ports|Hustler|WI|54637|43.8801|-90.2729|187|Police officer|1983-08-26|287044090|male_30_40_smaller_cities.json|368|2015-05-03|utilities|49.9
788-17-4562|Conner|Stark|M|19683 Cloe Bridge Suite 182|Slatyfork|WV|26291|38.388|-79.9906|165|Pilot, airline|1992-07-17|21125300|millenials.json|523|2015-05-03|travel|160.44
788-17-4562|Conner|Stark|M|19683 Cloe Bridge Suite 182|Slatyfork|WV|26291|38.388|-79.9906|165|Pilot, airline|1992-07-17|21125300|millenials.json|997|2015-05-01|shopping_net|1.35
208-75-3768|Tenisha|Quigley|F|355 Joni Crossing Apt. 061|Fulton|IN|46931|40.9484|-86.2658|188|Legal secretary|1990-01-31|13|young_adults.json|1199|2015-05-01|shopping_net|30.44
208-75-3768|Tenisha|Quigley|F|355 Joni Crossing Apt. 061|Fulton|IN|46931|40.9484|-86.2658|188|Legal secretary|1990-01-31|13|young_adults.json|1565|2015-05-02|pharmacy|35.29
